"make"
"Merkur"
"Ferrari"
"Chevrolet"
"Rambler"
"Jaguar"
"Mazda"
"Volvo"
"Jensen"
"Maserati"
"Maybach"
"Daihatsu"
"Foose"
"Lexus"
"Fairthorpe"
"Buick"
"Isuzu"
"Porsche"
"Mercedes-Benz"
"Land Rover"
"Ram"
"Studebaker"
"Corbin"
"Acura"
"Lotus"
"Smart"
"Honda"
"Bentley"
"Bugatti"
"Infiniti"
"MINI"
"Lincoln"
"Renault"
"Fiat"
"Dodge"
"Plymouth"
"Subaru"
"Rolls-Royce"
"Aptera"
"Morgan"
"Hillman"
"Spyker"
"Tesla"
"Toyota"
"Panoz"
"BMW"
"Volkswagen"
"Mercury"
"Hyundai"
"Spyker Cars"
"HUMMER"
"Hummer"
"Suzuki"
"Nissan"
"Pontiac"
"Geo"
"GMC"
"Kia"
"Lamborghini"
"MG"
"Audi"
"McLaren"
"FIAT"
"Chrysler"
"Alfa Romeo"
"Cadillac"
"Scion"
"Citroën"
"Aston Martin"
"Austin"
"Saturn"
"Eagle"
"Saab"
"Jeep"
"Holden"
"Shelby"
"Daewoo"
"Peugeot"
"Fillmore"
"Mitsubishi"
"Ford"
"Oldsmobile"
